video,n_face_changes,n_text_changes,face_vs_text_match_rate,face_vs_text_total_with_text,face_vs_manual_match_rate,face_summary_num_changes
prueba1,71,0,0.32142857142857145,112,0.05217391304347826,
prueba2,38,0,0.18055555555555555,72,0.84,
prueba3,11,0,0.7142857142857143,63,0.9538461538461539,
prueba4,18,0,0.40476190476190477,84,0.7536231884057971,
prueba_enojo1,32,0,,0,0.3548387096774194,
prueba_feliz1,30,0,0.3188405797101449,69,0.7887323943661971,
prueba_feliz2,31,0,0.40350877192982454,57,0.6101694915254238,
prueba_serio1,33,0,0.6567164179104478,67,0.7361111111111112,
prueba_serio2,18,0,0.7796610169491526,59,0.9047619047619048,
prueba_triste1,21,0,0.04838709677419355,62,0.8769230769230769,
